t,Qi(t),H(t)
849,"32,48291613","14,17893058"
852,"32,48291613","14,18363373"
855,"32,48291613","14,18823346"
858,"32,48291613","14,19273219"
861,"32,48291613","14,19713229"
864,"32,48291613","14,20143604"
867,"32,48291613","14,20564567"
870,"32,48291613","14,20976338"
873,"32,48291613","14,21379127"
876,"32,48291613","14,21773143"
879,"32,48291613","14,22158586"
882,"32,48291613","14,22535653"
885,"32,48291613","14,22904535"
888,"32,48291613","14,2326542"
891,"32,48291613","14,2361849"
894,"32,48291613","14,23963922"
897,"32,48291613","14,24301889"
900,"32,48291613","14,24632561"
903,"32,48291613","14,24956102"
906,"32,48291613","14,25272673"
909,"32,48291613","14,25582431"
912,"32,48291613","14,25885528"
915,"32,48291613","14,26182115"
918,"32,48291613","14,26472337"
921,"32,48291613","14,26756336"
924,"32,48291613","14,27034251"
927,"32,48291613","14,27306217"
930,"32,48291613","14,27572367"
933,"32,48291613","14,2783283"
936,"32,48291613","14,28087731"
939,"32,48291613","14,28337194"
942,"32,48291613","14,28581339"
945,"32,48291613","14,28820284"
948,"32,48291613","14,29054142"
951,"32,48291613","14,29283025"
954,"32,48291613","14,29507044"
957,"32,48291613","14,29726304"
960,"32,48291613","14,2994091"
963,"32,48291613","14,30150964"
966,"32,48291613","14,30356565"
969,"32,48291613","14,3055781"
972,"32,48291613","14,30754794"
975,"32,48291613","14,30947611"
978,"32,48291613","14,3113635"
981,"32,48291613","14,313211"
984,"32,48291613","14,31501948"
987,"32,48291613","14,31678978"
990,"32,48291613","14,31852274"
993,"32,48291613","14,32021915"
996,"32,48291613","14,3218798"
999,"32,48291613","14,32350547"
1002,"40,60364516","14,32509692"
1005,"40,60364516","14,47467973"
1008,"40,60364516","14,61828665"
1011,"40,60364516","14,75636156"
1014,"40,60364516","14,88929938"
1017,"40,60364516","15,01745313"
1020,"40,60364516","15,14113976"
1023,"40,60364516","15,26064496"
1026,"40,60364516","15,3762272"
1029,"40,60364516","15,48812117"
1032,"40,60364516","15,5965406"
1035,"40,60364516","15,70168078"
1038,"40,60364516","15,80372062"
1041,"40,60364516","15,90282447"
1044,"40,60364516","15,99914368"
1047,"40,60364516","16,09281795"
1050,"40,60364516","16,18397652"
1053,"40,60364516","16,27273923"
1056,"40,60364516","16,35921737"
1059,"40,60364516","16,44351454"
1062,"40,60364516","16,5257273"
1065,"40,60364516","16,60594585"
1068,"40,60364516","16,68425458"
1071,"40,60364516","16,76073252"
1074,"40,60364516","16,83545385"
1077,"40,60364516","16,90848826"
1080,"40,60364516","16,97990131"
1083,"40,60364516","17,04975478"
1086,"40,60364516","17,11810692"
1089,"40,60364516","17,18501276"
1092,"40,60364516","17,25052432"
1095,"40,60364516","17,31469083"
1098,"40,60364516","17,37755893"
1101,"40,60364516","17,43917288"
1104,"40,60364516","17,49957467"
1107,"40,60364516","17,5588042"
1110,"40,60364516","17,61689944"
1113,"40,60364516","17,67389652"
1116,"40,60364516","17,72982987"
1119,"40,60364516","17,78473229"
1122,"40,60364516","17,83863513"
1125,"40,60364516","17,89156828"
1128,"40,60364516","17,94356033"
1131,"40,60364516","17,99463862"
1134,"40,60364516","18,04482932"
1137,"40,60364516","18,09415747"
1140,"40,60364516","18,14264708"
1143,"40,60364516","18,19032118"
1146,"40,60364516","18,23720185"
1149,"40,60364516","18,28331029"
1152,"40,60364516","18,32866689"
1155,"40,60364516","18,37329121"
1158,"40,60364516","18,41720208"
1161,"40,60364516","18,46041762"
1164,"40,60364516","18,50295526"
1167,"40,60364516","18,54483179"
1170,"40,60364516","18,5860634"
1173,"40,60364516","18,62666569"
1176,"40,60364516","18,66665371"
1179,"40,60364516","18,70604197"
1182,"40,60364516","18,74484449"
1185,"40,60364516","18,78307481"
1188,"40,60364516","18,82074602"
1191,"40,60364516","18,85787073"
1194,"40,60364516","18,8944612"
1197,"40,60364516","18,93052923"
1200,"40,60364516","18,96608627"
1203,"40,60364516","19,00114339"
1206,"40,60364516","19,03571133"
1209,"40,60364516","19,06980048"
1212,"40,60364516","19,1034209"
1215,"40,60364516","19,13658236"
1218,"40,60364516","19,16929432"
1221,"40,60364516","19,20156598"
1224,"40,60364516","19,23340623"
1227,"40,60364516","19,26482374"
1230,"40,60364516","19,29582689"
1233,"40,60364516","19,32642385"
1236,"40,60364516","19,35662254"
1239,"40,60364516","19,38643066"
1242,"40,60364516","19,4158557"
1245,"40,60364516","19,44490494"
1248,"40,60364516","19,47358545"
1251,"40,60364516","19,50190413"
1254,"40,60364516","19,52986768"
1257,"40,60364516","19,55748262"
1260,"40,60364516","19,5847553"
1263,"40,60364516","19,6116919"
1266,"40,60364516","19,63829847"
1269,"40,60364516","19,66458085"
1272,"40,60364516","19,69054478"
1275,"40,60364516","19,71619583"
1278,"40,60364516","19,74153944"
1281,"40,60364516","19,76658091"
1284,"40,60364516","19,79132541"
1287,"40,60364516","19,81577798"
1290,"40,60364516","19,83994356"
1293,"40,60364516","19,86382693"
1296,"40,60364516","19,8874328"
1299,"40,60364516","19,91076574"
1302,"40,60364516","19,93383023"
1305,"40,60364516","19,95663063"
1308,"40,60364516","19,97917121"
1311,"40,60364516","20,00145614"
1314,"40,60364516","20,0234895"
1317,"40,60364516","20,04527527"
1320,"40,60364516","20,06681734"
1323,"40,60364516","20,08811952"
1326,"40,60364516","20,10918554"
1329,"40,60364516","20,13001904"
1332,"40,60364516","20,15062358"
1335,"40,60364516","20,17100264"
1338,"40,60364516","20,19115965"
1341,"40,60364516","20,21109794"
1344,"40,60364516","20,23082078"
1347,"40,60364516","20,25033137"
1350,"40,60364516","20,26963284"
1353,"40,60364516","20,28872827"
1356,"40,60364516","20,30762066"
1359,"40,60364516","20,32631296"
1362,"40,60364516","20,34480805"
1365,"40,60364516","20,36310876"
1368,"40,60364516","20,38121787"
1371,"40,60364516","20,39913809"
1374,"40,60364516","20,41687207"
1377,"40,60364516","20,43442245"
1380,"40,60364516","20,45179176"
1383,"40,60364516","20,46898254"
1386,"40,60364516","20,48599722"
1389,"40,60364516","20,50283825"
1392,"40,60364516","20,51950798"
1395,"40,60364516","20,53600873"
1398,"40,60364516","20,5523428"
1401,"40,60364516","20,56851242"
1404,"40,60364516","20,58451979"
1407,"40,60364516","20,60036707"
1410,"40,60364516","20,61605637"
1413,"40,60364516","20,63158978"
1416,"40,60364516","20,64696934"
1419,"40,60364516","20,66219705"
1422,"40,60364516","20,67727489"
1425,"40,60364516","20,69220478"
1428,"40,60364516","20,70698864"
1431,"40,60364516","20,72162832"
1434,"40,60364516","20,73612567"
1437,"40,60364516","20,75048249"
1440,"40,60364516","20,76470055"
1443,"40,60364516","20,77878159"
1446,"40,60364516","20,79272732"
1449,"40,60364516","20,80653944"
1452,"40,60364516","20,82021958"
1455,"40,60364516","20,83376939"
1458,"40,60364516","20,84719047"
1461,"40,60364516","20,86048437"
1464,"40,60364516","20,87365266"
1467,"40,60364516","20,88669686"
1470,"40,60364516","20,89961846"
1473,"40,60364516","20,91241894"
1476,"40,60364516","20,92509975"
1479,"40,60364516","20,93766231"
